Step;avg_deliberation;avg_imitation;avg_repetition;avg_social;avg_utility;std_deliberation;std_imitation;std_repetition;std_social;std_utility
115;9.733333333333333;0.0;0.0;0.0;93.46666666666667;2,6040;0,0000;0,0000;0,0000;7,0292
116;10.6;0.0;0.0;0.0;88.13333333333334;2,5857;0,0000;0,0000;0,0000;7,2591
117;8.2;0.0;0.0;0.0;94.4;2,4260;0,0000;0,0000;0,0000;11,4318
118;9.733333333333333;0.0;0.0;0.0;93.86666666666666;3,3051;0,0000;0,0000;0,0000;9,8043
119;9.466666666666667;0.0;0.0;0.0;91.66666666666667;5,5274;0,0000;0,0000;0,0000;7,4514
120;10.4;0.0;0.13333333333333333;0.0;92.53333333333333;2,7980;0,0000;0,3519;0,0000;8,7657
121;11.2;0.0;0.0;0.0;91.46666666666667;3,0519;0,0000;0,0000;0,0000;11,8374
122;11.133333333333333;0.0;0.0;0.0;91.2;2,6690;0,0000;0,0000;0,0000;12,8185
123;10.066666666666666;0.0;0.06666666666666667;0.0;93.33333333333333;3,1502;0,0000;0,2582;0,0000;12,0159
124;10.0;0.0;0.0;0.0;89.93333333333334;3,7607;0,0000;0,0000;0,0000;6,8187
125;10.266666666666667;0.0;0.0;0.0;94.8;2,3745;0,0000;0,0000;0,0000;10,0726
126;10.2;0.0;0.06666666666666668;0.0;92.93333333333334;3,9677;0,0000;0,2582;0,0000;6,4417
127;12.133333333333333;0.0;0.0;0.0;91.13333333333334;3,7200;0,0000;0,0000;0,0000;8,7003
128;10.4;0.0;0.0;0.0;95.46666666666667;3,3338;0,0000;0,0000;0,0000;4,3731
129;10.2;0.0;0.0;0.0;97.06666666666666;2,6241;0,0000;0,0000;0,0000;9,8159
130;11.6;0.0;0.0;0.0;90.6;3,9964;0,0000;0,0000;0,0000;9,3717
131;10.133333333333333;0.0;0.0;0.0;94.2;3,4819;0,0000;0,0000;0,0000;9,4959
132;9.2;0.0;0.0;0.0;89.73333333333333;2,7568;0,0000;0,0000;0,0000;8,1894
133;10.0;0.0;0.0;0.0;91.53333333333333;2,2361;0,0000;0,0000;0,0000;8,1141
134;9.666666666666666;0.0;0.0;0.0;90.33333333333333;3,8483;0,0000;0,0000;0,0000;7,6780
135;9.733333333333333;0.0;0.0;0.0;95.86666666666666;2,2509;0,0000;0,0000;0,0000;9,7751
136;10.733333333333333;0.0;0.0;0.0;89.66666666666667;2,3745;0,0000;0,0000;0,0000;7,1481
137;10.6;0.0;0.0;0.0;90.66666666666667;2,4437;0,0000;0,0000;0,0000;9,5069
138;10.666666666666666;0.0;0.06666666666666667;0.0;93.93333333333334;2,6095;0,0000;0,2582;0,0000;10,9444
139;10.066666666666666;0.0;0.0;0.0;93.2;2,3745;0,0000;0,0000;0,0000;12,5766
140;10.8;0.0;0.06666666666666668;0.0;95.13333333333334;3,0984;0,0000;0,2582;0,0000;10,0205
141;11.266666666666667;0.0;0.0;0.0;90.06666666666666;3,0111;0,0000;0,0000;0,0000;9,3691
142;9.4;0.0;0.0;0.0;94.6;2,9713;0,0000;0,0000;0,0000;11,3628
143;8.533333333333333;0.0;0.0;0.0;94.93333333333334;2,7220;0,0000;0,0000;0,0000;9,1219
144;10.0;0.0;0.0;0.0;93.8;2,8284;0,0000;0,0000;0,0000;9,8213
145;11.466666666666667;0.0;0.06666666666666668;0.0;97.4;2,6150;0,0000;0,2582;0,0000;7,9624
146;11.2;0.0;0.0;0.0;92.73333333333333;2,6511;0,0000;0,0000;0,0000;9,6988
147;11.0;0.0;0.06666666666666668;0.0;90.33333333333333;3,0938;0,0000;0,2582;0,0000;13,0421
